local_timestamp,array,light_barrier,force_sensor,window_ms,minimum_rise,light_barrier_plc_time_ms,peak_plc_time_ms,peak_delay_ms,baseline,peak,peak_rise,valid,reason
2026-08-02T19:30:33.022,1,2,1,2000,0.05000000074505806,221404,220063,8,0.010022594593465328,0.047914061695337296,0.0,1,
2026-08-02T19:30:35.119,1,2,1,2000,0.05000000074505806,223456,222813,25,0.009833386167883873,0.3707998991012573,0.0,1,
2026-08-02T19:30:37.082,1,2,1,2000,0.05000000074505806,223456,223481,25,0.009833386167883873,0.3707998991012573,0.3609665036201477,1,
2026-08-02T19:30:39.156,1,2,1,2000,0.05000000074505806,225486,226176,690,0.009497683495283127,0.3711050748825073,0.3616074025630951,1,
2026-08-02T19:30:41.788,1,2,1,2000,0.05000000074505806,228128,229363,1235,0.009686995297670364,0.36896878480911255,0.3592817783355713,1,
2026-08-02T19:30:44.316,1,2,1,2000,0.05000000074505806,230607,230633,26,0.009613754227757454,0.36957913637161255,0.35996538400650024,1,
2026-08-02T19:30:46.839,1,2,1,2000,0.05000000074505806,233151,233805,654,0.010132533498108387,0.36896878480911255,0.35883626341819763,1,
2026-08-02T19:30:49.356,1,2,1,2000,0.05000000074505806,235651,237573,1922,0.00989448744803667,0.3707998991012573,0.36090540885925293,1,
2026-08-02T19:31:08.009,1,2,1,2000,0.05000000074505806,254381,254406,25,0.009754132479429245,0.35187840461730957,0.3421242833137512,1,
2026-08-02T19:31:10.631,1,2,1,2000,0.05000000074505806,256986,257011,25,0.009735824540257454,0.35157322883605957,0.34183740615844727,1,
2026-08-02T19:31:13.267,1,2,1,2000,0.05000000074505806,259641,259666,25,0.009699203073978424,0.35370951890945435,0.3440103232860565,1,
2026-08-02T19:31:16.120,1,2,1,2000,0.05000000074505806,262519,262545,26,0.00962595921009779,0.3509628474712372,0.3413368761539459,1,
2026-08-02T19:31:18.963,1,2,1,2000,0.05000000074505806,267349,265326,14,0.009571031667292118,0.16541032493114471,0.0,1,
2026-08-02T19:31:21.036,1,2,1,2000,0.05000000074505806,267349,267374,25,0.009571031667292118,0.3509628474712372,0.34139180183410645,1,
2026-08-02T19:31:23.259,1,2,1,2000,0.05000000074505806,269579,269604,25,0.009644272737205029,0.35309916734695435,0.34345489740371704,1,
2026-08-02T19:31:47.790,1,2,2,2000,0.05000000074505806,294146,294163,17,0.024359863251447678,0.028992583975195885,0.004632720723748207,0,peak rise below minimum
2026-08-02T19:31:53.828,1,2,2,2000,0.05000000074505806,300170,300194,24,0.024427002295851707,0.02929776906967163,0.004870766773819923,0,peak rise below minimum
2026-08-02T19:32:49.707,1,2,1,2000,0.05000000074505806,356119,356153,34,0.009717492386698723,0.651570200920105,0.6418527364730835,1,
2026-08-02T19:32:52.344,1,2,1,2000,0.05000000074505806,358728,358763,35,0.00988838542252779,0.651570200920105,0.6416817903518677,1,
2026-08-02T19:32:59.577,1,2,1,2000,0.05000000074505806,365909,365943,34,0.009894456714391708,0.653096079826355,0.6432016491889954,1,
2026-08-02T19:33:02.229,1,2,1,2000,0.05000000074505806,368554,368589,35,0.009717452339828014,0.653096079826355,0.6433786153793335,1,
2026-08-02T19:33:04.526,1,2,1,2000,0.05000000074505806,370875,370909,34,0.009760180488228798,0.6512649655342102,0.6415047645568848,1,
2026-08-02T19:33:06.615,1,2,1,2000,0.05000000074505806,372986,374891,1905,0.009821215644478798,0.6509597897529602,0.6411385536193848,1,
2026-08-02T19:33:10.330,1,2,1,2000,0.05000000074505806,376729,376763,34,0.009821205399930477,0.6512649655342102,0.6414437890052795,1,
2026-08-02T19:33:14.527,1,2,1,2000,0.05000000074505806,380880,380915,35,0.009778480045497417,0.651570200920105,0.6417917013168335,1,
