local_timestamp,part_number,edge,distance_1_2_mm,distance_2_3_mm,distance_3_4_mm,distance_4_5_mm,distance_5_6_mm,distance_6_7_mm,distance_7_8_mm,plc_time_lb1_ms,plc_time_lb2_ms,plc_time_lb3_ms,plc_time_lb4_ms,plc_time_lb5_ms,plc_time_lb6_ms,plc_time_lb7_ms,plc_time_lb8_ms,speed_1_2_mm_per_sec,speed_2_3_mm_per_sec,speed_3_4_mm_per_sec,speed_4_5_mm_per_sec,speed_5_6_mm_per_sec,speed_6_7_mm_per_sec,speed_7_8_mm_per_sec,acceleration_after_lb2_mm_per_sec2,acceleration_after_lb3_mm_per_sec2,acceleration_after_lb4_mm_per_sec2,acceleration_after_lb5_mm_per_sec2,acceleration_after_lb6_mm_per_sec2,acceleration_after_lb7_mm_per_sec2,maximum_speed_change_percent,consistent,diagnosis
2026-08-18T15:47:23.231,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8537531,8537718,8538771,8539004,8539929,8540159,8541144,8541452,213.90374331550802,186.13485280151946,171.67381974248926,211.8918918918919,173.91304347826087,198.98477157360406,129.87012987012986,-47.070457529421326,-21.924928146044987,65.36556552774793,-62.08655575277013,39.615222992914966,-96.308002905572,34.73363371322556,True,
2026-08-18T15:47:41.917,4,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8556355,8556529,8557447,8557662,8558569,8558804,8559821,8560140,229.88505747126436,213.50762527233115,186.04651162790697,216.09702315325248,170.2127659574468,192.7236971484759,125.39184952978056,-30.769633894645498,-46.49237949371719,51.20601240162888,-75.10821068141009,34.61880401564789,-90.75977760202683,34.93698419806795,True,
2026-08-18T15:48:06.545,5,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8581268,8581447,8582415,8582619,8583425,8583639,8584532,8584810,223.46368715083798,202.4793388429752,196.07843137254903,243.17617866004963,186.9158878504673,219.484882418813,143.88489208633092,-37.87346108796281,-10.809878850715874,87.66060431434303,-102.53010481684707,56.08501898081226,-116.40148915129267,34.444281309646165,True,
2026-08-18T15:50:27.356,6,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8724399,8724520,8724894,8724972,8725252,8725316,8725548,8725605,330.57851239669424,524.0641711229947,512.8205128205128,700.0,625.0,844.8275862068965,701.7543859649123,700.6826381204244,-49.399902903973334,961.9284814851959,-421.0805084745763,1369.1044509159797,-937.6035262507629,36.920222634508356,True,
2026-08-18T15:50:31.732,7,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8728873,8728990,8729340,8729412,8729664,8729721,8729928,8729979,341.88034188034186,560.0,555.5555555555555,777.7777777777778,701.7543859649123,946.8599033816425,784.3137254901961,833.5501348973753,-21.008579200669637,1255.49278091651,-476.60615840655583,1712.2222814021286,-1192.3544772863675,38.949938949938954,True,
2026-08-18T15:50:49.854,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8747015,8747137,8747484,8747553,8747797,8747852,8748051,8748100,327.8688524590164,564.8414985590778,579.7101449275362,803.2786885245902,727.2727272727273,984.9246231155779,816.3265306122449,896.3895511935272,72.10988829423914,1310.1389801096632,-492.9281000130291,1869.2834465451374,-1286.811477279401,41.953830712612906,True,
2026-08-18T15:50:54.607,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8751825,8751939,8752275,8752343,8752584,8752639,8752836,8752885,350.87719298245617,583.3333333333334,588.2352941176471,813.2780082987551,727.2727272727273,994.9238578680203,816.3265306122449,920.1820899259748,24.33467571142769,1336.4421929521834,-561.4216057105054,1953.168911526584,-1370.6969422608474,39.849624060150376,True,
2026-08-18T15:50:59.478,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8756647,8756763,8757110,8757180,8757428,8757485,8757690,8757741,344.82758620689657,564.8414985590778,571.4285714285714,790.3225806451613,701.7543859649123,956.0975609756098,784.3137254901961,848.0502300219914,31.714804027259884,1263.0473272573288,-559.9600137993069,1786.7090164513504,-1266.8412123355893,38.95144264602392,True,
2026-08-18T15:51:04.293,4,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8761464,8761580,8761930,8762001,8762253,8762311,8762519,8762570,344.82758620689657,560.0,563.3802816901408,777.7777777777778,689.6551724137931,942.3076923076923,784.3137254901961,824.9743041979887,16.09043134433233,1218.393770371508,-547.9407405416931,1747.1166531574138,-1155.9142669065154,38.42364532019704,True,
2026-08-18T15:51:09.106,5,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8766271,8766386,8766731,8766803,8767057,8767115,8767324,8767376,347.82608695652175,568.1159420289855,555.5555555555555,771.6535433070866,689.6551724137931,937.799043062201,769.2307692307693,854.9692238135414,-59.8040181306764,1215.2848118209313,-507.73277144611444,1711.198255641022,-1219.2841899873683,38.775510204081634,True,
